Below is the index of all known Key Events (KEs).
    Each line is in the format [id|title], where id is the unique KE number, and title is the KE name.
361|Decline, Population
1210|Alteration, Food-web structures
1252|Binding to (interferes with) topoisomerase II enzyme
1253|MLL chromosomal translocation
1254|Infant leukaemia
1461|Increase, DNA double-strand breaks
1256|increased mantel display
1257|Induced parturition
1141|Decreased, Reproductive Success
1258|Decompartmentalization
1260|Direct mitochondrial inhibition
1259|narcosis
1262|Apoptosis
1263|Necrosis
1270|Inactivation of PPARγ
1271|Increase, Transforming growth factor-beta signaling
1275|Collagen Deposition
1276|Lung fibrosis
1457|Epithelial Mesenchymal Transition
1174|Activation, NADPH Oxidase
1277|Reproductive failure
1279|Increase, Oxidative Stress / Activation, PMK-1 P38 MAPK
1280|Activation, HIF-1
1281|Increased, DNA Damage-Repair
1282|Activation, JAK/STAT pathway
1283|Activation, TGF-beta pathway
1284|Up Regulation, SREBF2
1285|Up Regulation, Unsaturated fatty acid
1286|Down Regulation, GSS and GSTs gene
1287|Glutathione synthesis
1288|Activation, 3-hydroxy-3-methylglutaryl-CoA reductase gene
1289|Perturbation of cholesterol
1290|Glutathione homeostasis
1291|Hepatotoxicity
1292|Activation, JNK
1293|Activation, FOXO
1294|Inhibition, Wnt pathway
1295|Defect of Embryogenesis
1502|Histone deacetylase inhibition
1503|Histone acetylation, increase
1505|Increase, Cell cycle disruption
1506|Testicular atrophy
1515|Spermatocyte depletion
1305|Increase, cytosolic fatty acid
1489|Increase, Steatohepatitis
1490|Inhibition, Fatty Acid Beta Oxidation
1491|Increased, Oncotic Necrosis
1316|Inhibit, serotonin transporter activity
1317|Decreased, serotonin transporter activity
1318|Decreased, extracellular sodium (Na+)
1319|Decreased, extracellular chloride (Cl-)
1320|Increased, extracellular serotonin
1321|Increased, intracellular sodium (Na+)
1322|Increased, intracellular chloride (Cl-)
1323|Decreased, intracellular serotonin
1324|Decreased, packaged serotonin
1325|Decreased, synaptic release
1326|Increased, 5-HT3 (5-hydroxytryptamine)
1328|Inactivated, 5-HTR (serotonin receptors)
1329|Reduce expression, BDNF (Brain-derived neurotrophic factor)
1330|Decreased, neuroplasticity
1334|Increase, cortisone
1335|Reduced, BDNF (Brain-derived neurotrophic factor)
1336|Activation, 5-HT2A (Serotonin 2A)
1337|Activate, PLC (Phospholipase C)
1338|Increase, inositol triphosphate
1339|Increase, intracellular calcium
1340|Activate, calmodulin
1341|Increase, myosin light chain phosphorylation
1342|Increase, vascular smooth muscle contraction
1344|Increased, seizure
1345|Increased, agitation
1346|Increased, depression
1343|Increase, hypertension
1347|Decreased, extracellular serotonin
1348|Increase, seizure
1349|Activated, presynaptic neuron 1
1350|Increased, glutamate
1351|Activated, NMDA receptor
1352|Activated, voltage-gated sodium channel
1353|Binding to voltage-gated sodium channel
1354|Treat, carbamazepine
1355|Activated, membrane depolarization
1356|Inactive, membrane depolarization
1357|Increased, RDX dose
1358|Repress, GABA-A receptor
1359|Activate, GABA-A receptor
1360|Activate, presynaptic neuron 2
1361|Increase, GABA
1362|Increased, hippocampal hyperdepolarization
1363|Increased, epilepsy
1686|Deposition of Energy
1635|Increase, DNA strand breaks
1444|Increase, Follicular atresia
1366|Decrease, Oogenesis
1367|Inhibit, gastric ulcer formation
1368|Inhibition, PTGS-1 (Prostaglandin-endoperoxide synthase 1)
1369|Activation, PTGS-1 (Prostaglandin-endoperoxide synthase 1)
1370|Activation, PTGS-2 (Prostaglandin-endoperoxide synthase 2)
1371|Inhibition, PTGS-2 (Prostaglandin-endoperoxide synthase 2)
1372|Increase, bicarbonate
1373|Increase, mucous
1374|Increase, mucosal blood flow
1375|Increase, platelet aggregation
1376|Increase, angiogenesis
1377|Decrease, leukocyte adherence
1378|Increase, leukocyte adherence
1379|Activate, leukocyte
1380|Activate, mucosal defense
1381|Increase, surfactant
1382|Decrease, surfactant
1383|Activate, phospholipase
1384|Increase, ammonium (NH4+)
1385|Activated, gastric ulcer formation
1386|CYP7B activity, inhibition
1387|7α-hydroxypregnenolone synthesis in the brain, decreased
1388|Dopamine release in the brain, decreased
1389|Locomotor activity, decreased
1390|Sexual behavior, decreased
1391|Activation of Cyp2E1
1393|Hepatocytotoxicity
1394|Induction, persistent proliferation/sustained proliferation
1395|Liver Cancer
1396|Increased, glucocorticoid receptor activity
1397|Increased, serotonin transporter activity
1398|Increased, intracellular serotonin
1399|Increased, packaged serotonin
1400|Increased, synaptic release
1401|Decreased, 5-HT3
1402|Reduced, PTGS1 function
1403|Reduced, platelet aggregation
1404|Decreased, mucosal blood flow
1405|Reduced, mucosal defense
1406|Decreased, mucous
1407|Decreased, bicarbonate
1408|Reduced, PTGS2 function
1409|Decreased, angiogenesis
1410|Increased, leukocyte adherence
1411|Increased, leukocyte activation
1412|Helicobacter pylori infection
1413|Reduced, presynaptic neuron 2 activity
1414|Decreased, GABA
1415|Reduced, GABA-A receptor activation
1416|Decreased, intracellular chloride
1417|NFE2/Nrf2 repression
1421|Activated, LXR
1422|Reduced, PPARalpha
1423|Reduced, HSD17B4 activity
1424|Reduced, fatty acid beta oxidation
2421|Inhibition, Intestinal FXR
2423|Hepatic SHP, decreased
1425|Mu Opioid Receptor Agonism
1426|Release of G Proteins
1427|Opening of G protein gated inward rectifying K channels
1428|Analgesia
1429|Inhibition of N-type Ca ion channels
1430|Inhibition of neurotransmitter vesicle release
1431|Serotonin 1A Receptor Agonism
1432|Anti-depressant Activity
1438|Transcription of genes encoding acute phase proteins, Increased
1439|Systemic acute phase response
1443|Atherosclerosis
1775|Increase, Oocyte apoptosis
1456|Increase, Differentiation of fibroblasts
1468|Activation, Latent Transforming Growth Factor Beta 1
1469|Activation, Transforming Growth Factor beta pathway
1462|Thiol group of chemicals interact with sulfuhydryl groups of proteins to form thiol adducts
1463|Inhibition of lysyl oxidase
1464|Reduction of collagen crosslinking
1465|Weak collagen matrix
1466|Notochord distortion or malformations
1467|Growth, reduction
1471|Increase, Uncoupling of photophosphorylation
1472|Decrease, ATP production
1473|Decrease, Chlorophyll synthesis
1474|Decrease, Light harvest capacity
1475|Decrease, Photosynthesis
1476|Decrease, Glycolysis
1477|Oxidative phosphorylation, decreased
1478|Decrease, Leaf cell mitosis
1479|Decrease, Leaf development
1521|Decrease, Growth
1481|Inhibition of mitochondrial DNA polymerase gamma (Pol gamma)
1482|Depletion, mtDNA
1486|Binding of substrate, endocytic receptor
1508|CYP2E1 Activation
1509|Protein Adduct Formation
1511|Lipid Peroxidation
1512|Unfolded Protein Response
1513|General Apoptosis
1514|Neurodegeneration
1529|Blockade, L-Type Calcium Channels
1530|Decrease, Calcium currents
1531|Decrease, Calcium binding to Troponin C
1532|Decrease, Cardiac contractility
1533|Decrease, Cardiac ejection fraction
1535|Heart failure
1536|Disruption, Intracellular calcium mobilization
1537|Disruption, Sarcomere assembly
1446|Decrease, Coupling of oxidative phosphorylation
1771|Decrease, Adenosine triphosphate pool
1821|Decrease, Cell proliferation
2064|Increase, Cytosolic calcium
1562|Decreased Na/K ATPase activity
1527|Increase, Cell membrane depolarization
2070|Increase, Glycolysis
2071|Decrease, Glucose pool
2072|Increase, Mitochondrial swelling
1636|Increase, Chromosomal aberrations
1556|Increase, lung cancer
1542|Inhibition, Mitochondrial complex III
1543|Mitochondrial Complex IV inhibition
1544|Mitochondrial Complex V inhibition
1545|Decreased, mitochondrial oxidative phosphorylation
1547|Mitochondrial Injury
1548|Necrotic Tissue
1549|Liver Injury
1653|Binding of inhibitor to mitochondrial complex III
1654|Binding of inhibitor to mitochondrial complex IV
1655|Binding of inhibitor to mitochondrial complex V
1557|Neural crest cell migration, reduced
1558|Collagen production, reduced
1559|Facial cartilage structures are reduced in size and morphologically distorted
1560|Cell differentiation, altered
1561|Neural tube defects
1563|Decreased proximal tubular vectorial transport
1564|Chemical induced Fanconi syndrome
1700|Impaired IL-1R1 signaling in T cell
1702|Suppression of T cell activation
1574|Inhibition, IKK complex
1575|Activation, Caspase 8 pathway
1576|Activation, Tissue resident cells (Kuppfer cells)
1579|Increase, proinflammatory mediators (TNFalpha)
1580|Binding of microtubule stabilizing agents (MSA) to microtubules
1581|Disturbance in microtubule dynamic instability
1582|Impaired axonial transport
1583|Sensory axonal peripheral neuropathy
1584|Interaction of α-diketones with arginine residues
1585|Proteasomal dysfunction
1586|Airway epithelial injury
1587|Fibroproliferative airway lesions
1588|Bronchiolitis obliterans
1602|Increased Muscarinic Acetylcholine Receptors
1623|Occurrence, Focal Seizure
1788|Status epilepticus
1594|Oxidation of membrane lipids
1595|Oxidation/denatuation of membrane proteins
1599|Inflamatory events in light-exposed tissues
926|Oxidation, Glutathione (To be considered with MIE)
1603|Chronic kidney disease
1604|Inhibition of N-linked glycosylation
1605|Accumulation of misfolded proteins
1606|Activation, Stellate cell
1825|Increase, Cell death
1609|Inhibition, Cytochrome P450 enzyme (CYP17A1) activity
1610|Reduction, dehydroepiandrosterone
1611|Reduction, androstenedione
1613|Decrease, dihydrotestosterone (DHT) levels
1615|Impaired inguinoscrotal testicular descent phase
1616|Malformation, cryptorchidism - maldescended testis
1785|Increase, Mitochondrial ATP synthase antagonism
1627|Inhibition of tyrosinase
1628|Reduction of L-Dopaquinone
1629|Reduction in melanin level
1630|Reduction of melanosome level
1631|Reduction fo Pigmentation pattern
1632|Increase in reactive oxygen and nitrogen species (RONS)
1634|Increase, Oxidative DNA damage
1637|Retinaldehyde dehydrogenase inhibition
1640|Altered, Photoreceptor patterning
1641|Decreased retinoic acid (RA) synthesis
1642|Decreased plasma RA level
1643|Altered, Visual function
1651|Treatment-resistant gastric cancer
1754|Increase, porcupine-induced Wnt secretion and Wnt signaling activation
1755|beta-catenin activation
1656|Antagonism, Thyroid Receptor
1657|Inhibition of cystathionine beta-synthase
1661|Increased Homocysteine level
1665|Increased, Plasma HCY level
1666|Induced, dysfunction of microcirculation
1667|Impaired,anterior-posterior axis development
1677|Reduced tidal volume
1672|Inhibition of lung surfactant function
1673|Alveolar collapse
1668|Frustrated phagocytosis
1669|Increased, DNA damage and mutation
1670|Lung cancer
1680|Inhibition, TBX1
1681|Disruption, Neural crest cell migration
1682|Disruption, Progenitor cells of second heart field
1683|Impairment, Fourth pharyngeal arch development
1684|Abnormalities, Cardiac outflow tract formation
1685|Anomalies, Congenital cardiac conotruncal
1688|anogenital distance (AGD), decreased
2298|Decrease, intratesticular testosterone levels
1691|Antagonism,LH receptor
1692|Reduction, Progesterone synthesis
1693|Decreased, Progesterone levels
1694|Reduction, progesterone uptake, decresed maturation
1695|Impaired ovulation
1696|Decrease of egg production and cummulative fecundity
679|Decline, Population trajectory
1697|Increase, DNA methyltransferase expression
1698|Increase, hypermethylation of the promotor region of gonadotropin releasing hormone receptor
1699|Decrease, expression of gonadotropin releasing hormone receptor
1705|Impaired coordination and movement
1706|Stimulation, TLR7/8
1707|Increase, IL-23 from matured dendritic cells
1708|Th17 cell migration and inflammation induction
1709|Psoriatic skin disease
1822|Maturation of TNF/iNOS-Producing Dendritic Cells
1710|Binding to estrogen receptor (ER)-α in immune cells
1711|Induction of GATA3 expression
1712|Increase of Th2 cells producing IL-4
1713|Increase of anti-DNA antibody from autoreactive B cell
1714|Exacerbation of systemic lupus erythematosus (SLE)
1715|Inhibition of JAK3
1716|Blockade of STAT5 phosphorylation
1717|Suppression of STAT5 binding to cytokine gene promoters
1718|Suppression of IL-4 production
1719|Impairment of T-cell dependent antibody response
1720|Trypsin inhibition
1721|Increased intestinal monitor peptide level
1722|Increased blood CCK level
1723|Increased exocrine secretion from pancreatic acinar cells
1724|Acinar cell proliferation
1725|Pancreatic acinar cell tumors
860|Decreased, Mitochondrial Fatty Acid Beta Oxidation
1834|Decrease, Acyl-CoA dehydrogenases
1752|Increased Angiotensin II
1740|Induced dysregulation of ACE2
1851|Binding of agonist, Angiotensin II receptor type 1 receptor (AT1R)
1172|Increased activation, Nuclear factor kappa B (NF-kB)
1854|Dysregulation, ACE2 expression and activity
1738|SARS-CoV-2 cell entry
1739|Binding to ACE2
1748|Increase, the risk of acute respiratory failure
1750|Increased inflammatory immune responses
1848|Toll Like Receptor (TLR) Dysregulation
1847|Increased SARS-CoV-2 production
1901|Interferon-I antiviral response, antagonized by SARS-CoV-2
1365|Increase, Apoptosis
1757|Reduce, Sperm count
1756|Decreased, plasma 11-ketotestosterone level
1758|Impaired, Spermatogenesis
2147|Decreased, Viable Offspring
1445|Increase, Lipid peroxidation
1767|Increase, Protein oxidation
1768|Increase, Abnormal osmoregulation
1769|Increase, Body fluid overload
1770|Decrease, Mitochondrial membrane potential
1772|Decrease, Triglyceride
1761|Inhibition, Fin regeneration
2245|Altered Cell Differentiation Signaling
2089|Altered Bone Cell Homeostasis
1762|Urothelial cell injury/death
1763|Urothelial Tumor
1619|Increase, DNA methyltransferase inhibition
1773|Decrease, Global DNA methylation
1774|Increase, Caspase transcription
328|Decrease, Fecundity
1776|Increase, Ovarian somatic cell apoptosis
1777|Increase, Ovarian follicle breakdown
1778|Decrease, Heritable DNA methylation (F3)
1779|Increase, Caspase transcription (F3)
1780|Increase, Oocyte apoptosis (F3)
1781|Decrease, Fecundity (F3)
1782|Decrease, Oogenesis (F3)
1783|Increase, Ovarian somatic cell apoptosis (F3)
1784|Increase, Ovarian follicle breakdown (F3)
2373|Increase, Mis-timed ecdysone receptor-responsive nuclear receptor cascade
2374|Increase, Ecdysone receptor antagonism
2375|Decrease, Mis-timed ecdysone receptor-responsive nuclear receptor cascade
1786|Nipple retention (NR), increased
1800|Granulosa cell proliferation of gonadotropin-independent follicles, Reduced
1789|Reduction, 17beta-estradiol synthesis by the undifferentiated gonad
1790|Increased, Differentiation to Testis
1791|Increased, Male Biased Sex Ratio
1792|Toll-like receptor 4 activation
1793|Activator protein 1 activation
1794|Pin-1 activation
1795|Latent Transforming growth Factor beta expression
1799|Inhibition of 11β-HSD
1796|11β-hydroxylase inhibition
1798|Decreased spermatogenesis
1835|Cortisol and 11β-(OH) testosterone decreased
1836|Decreased plasma Cortisol level
1837|decreased oocyte maturation
1806|Inhibition, Chitinase
996|Decrease, Digestion of old cuticle
1524|Increase, Premature molting
1807|Inhibition, Chitobiase
1522|Inhibition, Chitin synthase 1
1523|Decrease, Cuticular chitin content
1525|Increase, Sulfonylurea receptor binding
1526|Increase, Opening of voltage-dependent calcium channel
1814|benzoquinone imine and acylglucuronide metabolites
1817|Apoptotic cell death
1818|Immune cell activation
1819|IFNγ signaling
1633|Increase in inflammation
1820|Immune mediated hepatitis
1815|Increase, Endoplasmic reticulum stress
1877|Altered, retinal layer structure
1878|Decreased, Eye size
1830|Displacement, Serum thyroxine (T4) from carrier protein
1831|Binding, Thyroid binding globulin in serum
1840|Inhibition, cytochrome oxidase
2312|Increased, nasal lesions
1839|Testicular Cancer
1841|Encephalitis
1842|Prolonged TLR9 activation
1843|Multi Organ Failure involving Acute Respiratory Distress Syndrome
1844|systemic inflammatory response syndrome
1897|increased MyD88 activation
1895|NLRP3 inflammasome activity, increased
1869|Diminished protective oxidative stress response
1898|Increase, Damage-associated molecular pattern release
1857|Platelet-neutrophil interactions, Increased
1899|formation of neutrophil extracellular traps (NETs)
1868|Hyperinflammation
1809|Increase, Tissue/organ damage
902|Inflammation, Liver
1900|increased platelet surface TLR9 expression
1846|Thrombosis and Disseminated Intravascular Coagulation
1845|Coagulation
1849|Impaired gustatory nerve
1850|dysgeusia
1787|Downregulation, ACE2
1856|Imbalanced salty and sweet taste responses
1852|Increased Ang II type 1 receptor (AT1R)
1501|Increase, Extracellular matrix deposition
1743|Increase plasma Ang II
1853|Hyperactivation of ACE/Ang-II/AT1R axis
1855|Increased Sodium-sensitive hypertension
2096|Occurrence, (Micro)vascular dysfunction
1861|Increase, D1 protein deactivation
1862|Decrease, Photosystem II efficiency
1863|Decrease, Reproduction
1864|Increase, Programmed cell death
1865|Increase, Oxygen-evolving complex damage
1866|Fibrinolysis, decreased
1867|Bradykinin system, hyperactivated
1555|Increase cell proliferation
1870|Sustentacular cells, decrease
1871|olfactory sensory neurons, decrease
1872|Olfactory epithelium degeneration
1873|impaired olfactory function (anosmia)
1874|blood brain barrier disruption
1875|Cerebrovascular disease (stroke)
1550|Deposition of Ionizing Energy
997|Decreased, Population size
1879|Bulky DNA adducts, increase
1880|Decreased, ALDH1A (RALDH) enzyme activity
1881|Decreased, all-trans retinoic acid (atRA) concentration
1882|Disrupted, initiation of meiosis of oogonia in the ovary
1883|Decreased, size of the ovarian reserve
2419|Decreased, Retinoic Acid Receptor Activation
1884|Inhibition of Fyna
1885|Inhibition of Plxna2
1886|Overexpression of rasl11b
1888|Increased (ectopic) all-trans retinoic acid concentration
1889|Increased premature meiotic initiation in fetal male germ cells
1890|Decrease (loss of) fetal male germ cells
1887|Inhibition of CYP26B1 activity
2420|Increased, Retinoic Acid Receptor Activation
2029|protein-coupled estrogen receptor 1 (GPER) activation
1310|Activation, PI3K
1299|Activation, AKT
1300|Activation, mTORC1
1995|Abnormal lipid metabolism
771|Decrease, Serum thyroid hormone (T4/T3)
2093|Brain thyroid hormone (T4/T3) decreased
2094|Abnormal, neuroblast migration
2095|Periventricular heterotopia formation
1967|Pyroptosis
1896|Genomic instability
1903|foxi1 expression, increased
1904|six1b expression, increased
1905|eya1 expression, inhibited
1930|altered, inner ear development
1008|Reduced, Hearing
1647|GSK3beta inactivation
1902|Repression of Gbx2 expression
1908|Cilia Beat Frequency, Decreased
1909|Mucociliary Clearance, Decreased
1913|Endothelial cell dysfunction
1914|Platelet activation, Increased
1915|Neutrophil activation, Increased
1916|Thromboinflammation, Increased
1607|Increase, Necrosis
1920|Altered gene expression, TGF-β dependent fibrosis pathway
1921|Altered gene expression, NF-kB dependent Interleukin-6 pathway
1933|Increased, Interleukin-6 production
1922|Increased, Reactive metabolites production
17|Altered gene expression, AHR nuclear translocator (ARNT)-dependent pathway
1923|Altered gene expression, P53 dependent apoptosis pathway
1917|Altered gene expression, NRF2 dependent antioxidant pathway
1931|Intestinal barrier, disruption
2030|Activation, PARP1
2031|Releasing, Apoptosis-Inducing Factor (AIF)
1906|Cystic Fibrosis Transmembrane Regulator Function, Decreased
1907|Airway Surface Liquid Height, Decreased
1911|FOXJ1 Protein, Decreased
1912|Motile Cilia Number/Length, Decreased
1934|Myocardial Infarction
1946|Impaired mechanotransduction of pericytes
1947|Pericyte dysfunction
1948|Increased ACE2 expression
1935|Angiotensin (1-7) levels diminished
1741|Induced, Angiotensin (Ang) II accumulation
1936|Angiotensin II degradation reduced
1937|ADAM17 expression induction
1938|ACE2 increased shedding
1954|Gut microbiota, alteration
1816|Mitochondrial dysfunction EMPTY
1941|Memory Loss
1942|Accumulation, Cytosolic toxic Tau oligomers
1943|Hyperphosphorylation of Tau
1945|Dysfunctional Autophagy
1944|Synaptic dysfunction
1939|Viral infection and host-to-host transmission, proliferated
1950|Increase, TNF
1949|Decrease, GLUT4
1951|Decrease, Glucose uptake
1952|Abnormal, Glucose homeostasis
1953|Gestational diabetes mellitus
1955|Acute Myeloid Leukemia
2099|hERG channel blockade
2100|Inhibition of rapid delayed rectifying potassium current
1961|Prolongation of Action Potential Duration
1962|Prolongation of QT interval
1963|Torsades de Pointes
1964|Sudden cardiac death
1965|Increase, Pollen abnormal
442|Decreased, Population trajectory
1970|transposition of the great arteries
105|Inhibition, Mitochondrial Electron Transport Chain Complexes
1971|Increased, tumor growth
1982|metastatic breast cancer
1972|Increased, Steroidogenic acute regulatory protein (StAR)
1973|Increased, estrogens
2092|Promotion, Ovarian Cancer
1974|Activation of Tumor Protein 53
1978|Increase risk, microcephaly
1979|Premature cell differentiation
2200|decline, neural progenitor cells
1977|Disruption of sodium channel gating kinetics
1983|Disruption, action potential generation
2005|Altered neurotransmission in development
1980|Increased microRNA expression
1981|Decreased SIRT1 expression
1554|Increase Chromosomal Aberrations
1985|Increased Kisspeptin levels in anteroventral periventricular nucleus (AVPV)
1986|Decreased, Gonadotropins
1987|Decreased, Androgen and Progestin
1988|Decreased, Maturation Inducing Steroid Surge by Granulosa cells
1989|Impaired, Oocyte maturation and ovulation
1990|Increased, Oocyte Atresia
1991|Impaired, Reproduction
1065|Activation, estrogen receptor alpha
2023|Inhibition of Ceramide Synthase
2024|Reduced complex sphingolipids
2025|Affected folate transporter
2026|decreased folate uptake
2033|Increased sphingolipid-1-phosphate
2006|Secondary genotoxicity
2007|Non-coding RNA expression profile alteration
2008|Chronic obstructive pulmonary disease
2009|Activation of inflammation pathway
2010|Pulmonary inflammation
2011|Emphysema
2012|Fibroblast proliferation and differentiation
2013|Airway remodeling
2017|Endoplasmic reticulum stress
2019|Non-alcoholic fatty liver disease
2065|Inhibition, Fatty acid oxidation
2119|Increase, Insulin resistance
2020|Decrease, sox9 expression
2021|Increase, slincR expression
2118|Succinate dehydrogenase, inhibited
2120|Superoxide generation, increased
2027|Antagonism, Smoothened receptor
2028|Decrease, GLI1/2 translocation to nucleus
2040|Decrease, GLI1/2 target gene expression
2041|Decrease, facial prominence outgrowth
2042|Increase, Orofacial clefting
2043|Decrease, Sonic Hedgehog second messenger production
2044|Decrease, Smoothend relocation and activation
2068|Increase, Endothelial Dysfunction
901|Infiltration, Inflammatory cells
1442|Foam cell formation
2034|liver dysfunction
2036|Activation of metabotropic glutamate receptor
2037|Inositol triphosphate receptor activation
2038|Activation of calpain signalling
2039|Inhibition GABAA receptor
2187|Opening, voltage-gated calcium channels
2188|Activation, caspases
1812|Increase, Cytochrome c release
2045|Increase, Alcohol dehydrogenase
748|Increased, Estrogen receptor (ER) activity
2046|Increase, Vitellogenin mRNA
2047|Delay, Ovarian maturation
2048|Increase, Body volume of female adults
2049|Increase, sex ratio (F/M)
2050|Increase, developmental abnormalities
2051|Decrease, Tyrosine
2052|Decrease, dopa decarboxylase
2053|Increase, Defects in tanning of new cuticle
2054|Increase, impairment of cuticle sclerotization
2055|Increase, pigmentation
2056|Increase, delay in oviposition
2057|Decrease, hatching of egg
2058|Decrease, 20-hydroxyecdysone
2059|Decrease, knickkopf gene
2060|Decrease, Chitin laminar organization
2061|Decrease, Prevent chitin degradation by chitinases
2062|Weak, Procuticle protection
2063|Decrease, New cuticle secretion
2067|Altered, Nitric Oxide Levels
2069|Occurrence, Abnormal Vascular Remodeling
2244|Altered Stress Response Signaling
2195|Increase, CNS Neural cell death
2196|Decrease, elavl3
2197|Decrease, sox10
2198|Decrease, mbp
2150|Neurological disorder
191|Neuronal dysfunction
637|impaired, Learning and memory
2078|Loss of drebrin
2151|Disruption, neurotransmitter release
1177|Decreased, Ionotropic GABA receptor chloride channel conductance
2073|increase oxidation of the di-copper moiety of the hemocyanin active site
2074|Decreased, oxygen binding capacity by hemocyanin
2075|Cognitive, sensed as hypoxic/low oxygen environment
2076|Increase, hemocyanin mRNA
2077|Increase, pulmonate breathing
2243|Succinate Accumulation
2242|Abnormality, dendritic spine morphology
2079|Increased, glycolipid levels
2080|Impaired, blood testis barrier
446|Reduction, fetal/adult testosterone
2141|Disruption, Estrogen receptor
2142|Depletion, Ectoplasmic specialization (ES)
2082|Hypospadias, increased
2081|Increased Modified Proteins
2083|Occurrence of Cataracts
2084|Increase, Cardiac remodelling
2215|Decrease Left Ventricular function
2085|Pulmonary epithelial injury
2086|Airway inflammation
2087|Increased incidence of respiratory disease
2088|Dysfunction of respiratory system
2090|Increase, Bone Remodeling
2091|Occurrence, Bone Loss
2097|Increase, Pro-Inflammatory Mediators
2098|Increase, Abnormal Neural Remodeling
2104|Decreased, thyroid hormone binding to thyroid hormone receptor
2105|Decreased, myelin basic protein expression in oligodendrocytes
2106|Impaired, oligodendrocyte maturation
2107|Hypomyelination
2108|Altered, white brain matter
2109|Binding, extracellular matrix protein laminin
2110|Disrupted binding, laminin-beta1-integrin receptors with laminin
2111|Decreased, neural progenitor cell adhesion to laminin
2112|Disturbed, radial glia cell alignment and migration
2113|Decreased, radial glia cell density
2114|Disturbed, cortical architecture
2115|Altered, cholesterol metabolism
2116|Decreased, oligodendrocyte differentiation
1998|Activation, Microglia
2123|decreased, Bcl-2 expression
2124|increased, Bax expression
2121|decreased, Intellectual Quotient
2186|Ryanodine receptor activation
2122|increased, socio-economic burden
130|Depletion, GSH
2131|Conjugation, GSH
2127|Increased adipocyte size
2128|Increased adipocyte numbers
2129|Metabolically unhealthy Obesity
2125|Increased fat mass
2126|Estrogen receptor alpha inactivation
2130|increased lipid accumulation
2132|Increased pro-inflammatory cytokine expression
2134|Increase, Androgen receptor protein expression/abundance
2136|prostatic intraepithelial neoplasia
2135|Prostate cancer
2137|Increase, Gonadotropins concentration in plasma
2139|Reduction, the ratio of 17beta-estradiol/11-Keto Testosterone in plasma
2144|Impaired insulin signaling
2145|Metabolic syndrome
2148|Increased LCN2/iron complex binds to SLC22A17 receptor in neuron
2149|Increased intracelluar Iron accumulation
2146|Activation of mitogen-activated protein kinase kinase, extracellular signal-regulated kinase 1/2
2152|Epigenetic modification process
2153|Expression of factors ruling proliferation, modified
2154|Uterine adenocarcinoma (endometrioid adenocarcinoma Type I)
2155|Inhibition of Sulfotransferase E1 (SULT1E1)
2251|Estradiol availability, increased
2158|Influenza A Virus (IAV) binds sialic acid glycan receptor
2159|Influenza A virus (IAV) cell entry
2180|Immune mechanisms antagonized by viral proteins
2192|Influenza A Virus production increased
2193|Influenza A Virus (IAV) budding
2194|Influenza A Virus (IAV) shedding and transmission
1928|increased，Vascular endothelial dysfunction
2161|Increase, Vascular disrupting effects
2181|Angiogenesis dysfunction
2162|Activation, HIF1α
2163|Activation Sema6A
2164|Activation, Dll4-Notch pathway
2165|Activation of PPAR
2166|Abnormal expression of NO
2167|Activation of MMP-2 MMP-9
2168|Activation of angiopoietin like protein 4
2169|Activation of Angiogenic cytokines
2170|Activated ANG/Tie2 pathway
2171|Activated BMP/TGF-beta pathway
2172|Activated Wnt/Frizzled pathway
2173|Activated AKT/ERK/PI3K pathway
2174|Inhibition VEGF/VEGFR pathway
2178|Vascular barrier disruption
2179|Impaired Platelet Aggregation
2199|Increased, Expression of LXR activated genes
2282|Cardiac ion channels blockade
2283|Increased the early premature depolarizations during repolarization
1929|Increased incidence of cardiovascular morbidity and mortality in the general population
2201|Agonism, Retinoic acid receptor
2202|Altered expression of cell cycle genes
2203|Decreased proliferation of cortical neural progenitor cells
2204|Altered brain morphology
2205|Increased, essential element imbalance
2206|Increased, histomorphological alteration of testis
2207|inhibition, EKR1/2 signaling pathway
2208|Aberrant, synaptic formation and plasticity
2209|autism-like behavior
2210|Reduced cortical thickness
2252|Human leukocyte antigen DQ2/8-gluten complexes, formation
2253|Gluten-reactive T cell receptors, generation
2254|Gluten-reactive and transglutaminase 2 reactive B cell receptors, generation
2255|Innate immune response, activation
2256|Gluten-reactive B cells and transglutaminase 2-reactive B cells, activation
2257|Celiac disease
2260|Gluten-reactive CD4+ T cells, activation
2275|Gluten reactive adaptive T-cells with antigen presenting cells, co-localization
2216|Binding of antagonist to thyroid hormone receptor
2217|Binding of antagonist to glucocorticoid hormone receptor
2218|Binding of (ant)agonist to liver X receptor
2219|Binding of (ant)agonist to peroxisome proliferator–activated receptor alpha
2220|Antagonism, Glucocorticoid hormone receptor
2221|Altered Liver X receptor activity
2222|Altered peroxisome proliferator–activated receptor alpha activity
2223|Reduced number of oligodendrocytes
2212|Epididymal agenesis
2213|Impaired, urethral tube closure
2214|Decreased, Insulin-like peptide 3 (INSL3)
2224|Dysregulation of transcriptional expression within PPAR signaling network
2225|Disrupted Lipid Storage
2226|Stressor binding PPAR isoforms
2227|Disrupted PPAR isoform nuclear signaling
2228|Cerebellar gene expression. Altered
2229|Cerebellar neuronal differentiation. Decreased
2230|Cerebellar hypoplasia
2231|Locomotor function. Impaired
2232|Antagonism, Retinoic acid receptors
2233|Decreased, ERαβ heterodimers
2240|The NO synthase pathway activation
